concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_type,statement_type,is_audited,data_quality,confidence_score
us-gaap:CashAndCashEquivalentsAtCarryingValue,151700946,1758530,us-gaap:CashAndCashEquivalentsAtCarryingValue,"Cash and Cash Equivalents, at Carrying Value",418213000.0,418213000,CNY,2025-12-31,FY,2025,instant,BalanceSheet,true,high,0.9
us-gaap:CashAndCashEquivalentsAtCarryingValue,151700947,1758530,us-gaap:CashAndCashEquivalentsAtCarryingValue,"Cash and Cash Equivalents, at Carrying Value",59804000.0,59804000,USD,2025-12-31,FY,2025,instant,BalanceSheet,true,high,0.9
us-gaap:CashAndCashEquivalentsAtCarryingValue,151700943,1758530,us-gaap:CashAndCashEquivalentsAtCarryingValue,"Cash and Cash Equivalents, at Carrying Value",587749000.0,587749000,CNY,2024-12-31,FY,2024,instant,BalanceSheet,true,high,0.9
us-gaap:CashAndCashEquivalentsAtCarryingValue,151700944,1758530,us-gaap:CashAndCashEquivalentsAtCarryingValue,"Cash and Cash Equivalents, at Carrying Value",587749000.0,587749000,CNY,2024-12-31,FY,2025,instant,BalanceSheet,true,high,0.9
us-gaap:CashAndCashEquivalentsAtCarryingValue,151700945,1758530,us-gaap:CashAndCashEquivalentsAtCarryingValue,"Cash and Cash Equivalents, at Carrying Value",80521000.0,80521000,USD,2024-12-31,FY,2024,instant,BalanceSheet,true,high,0.9
us-gaap:CashAndCashEquivalentsAtCarryingValue,151700939,1758530,us-gaap:CashAndCashEquivalentsAtCarryingValue,"Cash and Cash Equivalents, at Carrying Value",426119000.0,426119000,CNY,2023-12-31,FY,2023,instant,BalanceSheet,true,high,0.9
us-gaap:CashAndCashEquivalentsAtCarryingValue,151700940,1758530,us-gaap:CashAndCashEquivalentsAtCarryingValue,"Cash and Cash Equivalents, at Carrying Value",426119000.0,426119000,CNY,2023-12-31,FY,2024,instant,BalanceSheet,true,high,0.9
us-gaap:CashAndCashEquivalentsAtCarryingValue,151700941,1758530,us-gaap:CashAndCashEquivalentsAtCarryingValue,"Cash and Cash Equivalents, at Carrying Value",426119000.0,426119000,CNY,2023-12-31,FY,2025,instant,BalanceSheet,true,high,0.9
us-gaap:CashAndCashEquivalentsAtCarryingValue,151700942,1758530,us-gaap:CashAndCashEquivalentsAtCarryingValue,"Cash and Cash Equivalents, at Carrying Value",60018000.0,60018000,USD,2023-12-31,FY,2023,instant,BalanceSheet,true,high,0.9
us-gaap:CashAndCashEquivalentsAtCarryingValue,151700935,1758530,us-gaap:CashAndCashEquivalentsAtCarryingValue,"Cash and Cash Equivalents, at Carrying Value",694420000.0,694420000,CNY,2022-12-31,FY,2022,instant,BalanceSheet,true,high,0.9
us-gaap:CashAndCashEquivalentsAtCarryingValue,151700936,1758530,us-gaap:CashAndCashEquivalentsAtCarryingValue,"Cash and Cash Equivalents, at Carrying Value",694420000.0,694420000,CNY,2022-12-31,FY,2023,instant,BalanceSheet,true,high,0.9
us-gaap:CashAndCashEquivalentsAtCarryingValue,151700937,1758530,us-gaap:CashAndCashEquivalentsAtCarryingValue,"Cash and Cash Equivalents, at Carrying Value",694420000.0,694420000,CNY,2022-12-31,FY,2024,instant,BalanceSheet,true,high,0.9
us-gaap:CashAndCashEquivalentsAtCarryingValue,151700938,1758530,us-gaap:CashAndCashEquivalentsAtCarryingValue,"Cash and Cash Equivalents, at Carrying Value",100681000.0,100681000,USD,2022-12-31,FY,2022,instant,BalanceSheet,true,high,0.9
