concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_start,period_type,statement_type,is_audited,data_quality,confidence_score
us-gaap:NetIncomeLoss,151706757,1758530,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,-242301000.0,-242301000,CNY,2025-12-31,FY,2025,2025-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:NetIncomeLoss,151706758,1758530,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,-34649000.0,-34649000,USD,2025-12-31,FY,2025,2025-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic,151706818,1758530,us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic,"Net Income (Loss) Available to Common Stockholders, Basic",-242301000.0,-242301000,CNY,2025-12-31,FY,2025,2025-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:NetIncomeLoss,151706754,1758530,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,-589527000.0,-589527000,CNY,2024-12-31,FY,2024,2024-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:NetIncomeLoss,151706755,1758530,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,-589527000.0,-589527000,CNY,2024-12-31,FY,2025,2024-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:NetIncomeLoss,151706756,1758530,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,-80764000.0,-80764000,USD,2024-12-31,FY,2024,2024-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic,151706816,1758530,us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic,"Net Income (Loss) Available to Common Stockholders, Basic",-589527000.0,-589527000,CNY,2024-12-31,FY,2024,2024-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic,151706817,1758530,us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic,"Net Income (Loss) Available to Common Stockholders, Basic",-589527000.0,-589527000,CNY,2024-12-31,FY,2025,2024-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:NetIncomeLoss,151706750,1758530,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,21280000.0,21280000,CNY,2023-12-31,FY,2023,2023-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:NetIncomeLoss,151706751,1758530,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,21280000.0,21280000,CNY,2023-12-31,FY,2024,2023-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:NetIncomeLoss,151706752,1758530,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,21280000.0,21280000,CNY,2023-12-31,FY,2025,2023-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:NetIncomeLoss,151706753,1758530,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,2997000.0,2997000,USD,2023-12-31,FY,2023,2023-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic,151706813,1758530,us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic,"Net Income (Loss) Available to Common Stockholders, Basic",21280000.0,21280000,CNY,2023-12-31,FY,2023,2023-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic,151706814,1758530,us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic,"Net Income (Loss) Available to Common Stockholders, Basic",21280000.0,21280000,CNY,2023-12-31,FY,2024,2023-01-01,duration,IncomeStatement,true,high,0.9
