concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_start,period_type,statement_type,is_audited,data_quality,confidence_score
us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,151708615,1758530,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,"Revenue from Contract with Customer, Including Assessed Tax",1523410000.0,1523410000,CNY,2025-12-31,FY,2025,2025-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,151708616,1758530,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,"Revenue from Contract with Customer, Including Assessed Tax",217844000.0,217844000,USD,2025-12-31,FY,2025,2025-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,151708612,1758530,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,"Revenue from Contract with Customer, Including Assessed Tax",1466698000.0,1466698000,CNY,2024-12-31,FY,2024,2024-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,151708613,1758530,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,"Revenue from Contract with Customer, Including Assessed Tax",1466698000.0,1466698000,CNY,2024-12-31,FY,2025,2024-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,151708614,1758530,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,"Revenue from Contract with Customer, Including Assessed Tax",200937000.0,200937000,USD,2024-12-31,FY,2024,2024-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,151708608,1758530,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,"Revenue from Contract with Customer, Including Assessed Tax",1498029000.0,1498029000,CNY,2023-12-31,FY,2023,2023-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,151708609,1758530,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,"Revenue from Contract with Customer, Including Assessed Tax",1498029000.0,1498029000,CNY,2023-12-31,FY,2024,2023-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,151708610,1758530,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,"Revenue from Contract with Customer, Including Assessed Tax",1498029000.0,1498029000,CNY,2023-12-31,FY,2025,2023-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,151708611,1758530,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,"Revenue from Contract with Customer, Including Assessed Tax",210993000.0,210993000,USD,2023-12-31,FY,2023,2023-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,151708604,1758530,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,"Revenue from Contract with Customer, Including Assessed Tax",1257874000.0,1257874000,CNY,2022-12-31,FY,2022,2022-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,151708605,1758530,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,"Revenue from Contract with Customer, Including Assessed Tax",1257874000.0,1257874000,CNY,2022-12-31,FY,2023,2022-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,151708606,1758530,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,"Revenue from Contract with Customer, Including Assessed Tax",1257874000.0,1257874000,CNY,2022-12-31,FY,2024,2022-01-01,duration,IncomeStatement,true,high,0.9
us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,151708607,1758530,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,"Revenue from Contract with Customer, Including Assessed Tax",182375000.0,182375000,USD,2022-12-31,FY,2022,2022-01-01,duration,IncomeStatement,true,high,0.9
