open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
14.29,14.31,14.09,14.12,28151000.0,600089.SH,20230830,特变电工,NA,CNY
14.14,14.19,13.93,13.96,24728800.0,600089.SH,20230831,特变电工,NA,CNY
13.93,14.19,13.93,14.11,24492700.0,600089.SH,20230901,特变电工,NA,CNY
14.13,14.32,14.11,14.28,38173000.0,600089.SH,20230904,特变电工,NA,CNY
14.24,14.29,14.11,14.21,28707000.0,600089.SH,20230905,特变电工,NA,CNY
14.15,14.16,14.04,14.11,25904900.0,600089.SH,20230906,特变电工,NA,CNY
14.1,14.11,13.82,13.83,33177400.0,600089.SH,20230907,特变电工,NA,CNY
13.77,13.82,13.52,13.6,37256600.0,600089.SH,20230908,特变电工,NA,CNY
13.71,13.93,13.69,13.77,36599400.0,600089.SH,20230911,特变电工,NA,CNY
13.77,13.92,13.77,13.8,24465600.0,600089.SH,20230912,特变电工,NA,CNY
13.81,13.85,13.61,13.66,27968200.0,600089.SH,20230913,特变电工,NA,CNY
13.65,13.8,13.61,13.75,22896400.0,600089.SH,20230914,特变电工,NA,CNY
13.81,13.85,13.67,13.7,24330800.0,600089.SH,20230915,特变电工,NA,CNY
13.7,13.82,13.6,13.81,21127300.0,600089.SH,20230918,特变电工,NA,CNY
13.8,13.82,13.71,13.79,17168100.0,600089.SH,20230919,特变电工,NA,CNY
13.82,13.84,13.7,13.7,19443600.0,600089.SH,20230920,特变电工,NA,CNY
13.67,13.74,13.58,13.64,22410400.0,600089.SH,20230921,特变电工,NA,CNY
13.59,13.83,13.57,13.82,33303300.0,600089.SH,20230922,特变电工,NA,CNY
13.74,13.92,13.73,13.87,27176000.0,600089.SH,20230925,特变电工,NA,CNY
13.86,13.95,13.77,13.82,19722800.0,600089.SH,20230926,特变电工,NA,CNY
13.81,14.11,13.81,14.05,40119200.0,600089.SH,20230927,特变电工,NA,CNY
14.06,14.12,14.01,14.08,26777300.0,600089.SH,20230928,特变电工,NA,CNY
14.06,14.11,13.91,14.08,25238000.0,600089.SH,20231009,特变电工,NA,CNY
14.11,14.2,14.01,14.01,21480700.0,600089.SH,20231010,特变电工,NA,CNY
14.03,14.14,13.87,13.9,26214900.0,600089.SH,20231011,特变电工,NA,CNY
14.06,14.17,13.94,14.14,30084000.0,600089.SH,20231012,特变电工,NA,CNY
14.08,14.08,13.97,14.0,18895600.0,600089.SH,20231013,特变电工,NA,CNY
14.01,14.02,13.7,13.77,26629900.0,600089.SH,20231016,特变电工,NA,CNY
13.82,13.92,13.75,13.86,17360500.0,600089.SH,20231017,特变电工,NA,CNY
13.82,13.83,13.68,13.77,20424600.0,600089.SH,20231018,特变电工,NA,CNY
13.71,13.74,13.51,13.52,27603200.0,600089.SH,20231019,特变电工,NA,CNY
13.49,13.62,13.4,13.49,22590100.0,600089.SH,20231020,特变电工,NA,CNY
13.44,13.46,12.84,12.97,41996200.0,600089.SH,20231023,特变电工,NA,CNY
13.03,13.15,12.9,13.11,24432000.0,600089.SH,20231024,特变电工,NA,CNY
13.2,13.61,13.19,13.37,28465500.0,600089.SH,20231025,特变电工,NA,CNY
13.2,13.31,12.97,13.29,27755100.0,600089.SH,20231026,特变电工,NA,CNY
13.17,13.51,13.14,13.4,28398300.0,600089.SH,20231027,特变电工,NA,CNY
13.39,13.44,13.25,13.37,29550700.0,600089.SH,20231030,特变电工,NA,CNY
13.38,13.43,13.19,13.29,25311400.0,600089.SH,20231031,特变电工,NA,CNY
13.43,13.47,13.27,13.31,21142900.0,600089.SH,20231101,特变电工,NA,CNY
13.34,13.38,13.16,13.17,20286400.0,600089.SH,20231102,特变电工,NA,CNY
13.16,13.33,13.16,13.24,25388400.0,600089.SH,20231103,特变电工,NA,CNY
13.28,13.43,13.27,13.35,36225200.0,600089.SH,20231106,特变电工,NA,CNY
13.33,13.38,13.18,13.35,29688000.0,600089.SH,20231107,特变电工,NA,CNY
13.35,13.35,13.16,13.24,31392200.0,600089.SH,20231108,特变电工,NA,CNY
13.2,13.63,13.16,13.58,65530900.0,600089.SH,20231109,特变电工,NA,CNY
13.51,13.52,13.36,13.39,29336300.0,600089.SH,20231110,特变电工,NA,CNY
13.43,13.46,13.25,13.36,24222300.0,600089.SH,20231113,特变电工,NA,CNY
13.41,13.45,13.3,13.36,21409700.0,600089.SH,20231114,特变电工,NA,CNY
13.45,13.53,13.4,13.49,33895600.0,600089.SH,20231115,特变电工,NA,CNY
13.44,13.46,13.35,13.35,23861200.0,600089.SH,20231116,特变电工,NA,CNY
13.32,13.38,13.23,13.38,21488100.0,600089.SH,20231117,特变电工,NA,CNY
13.4,13.44,13.31,13.39,22611300.0,600089.SH,20231120,特变电工,NA,CNY
13.4,13.43,13.31,13.33,25145600.0,600089.SH,20231121,特变电工,NA,CNY
13.3,13.34,13.18,13.18,24366400.0,600089.SH,20231122,特变电工,NA,CNY
13.16,13.23,13.13,13.22,18330200.0,600089.SH,20231123,特变电工,NA,CNY
13.2,13.2,13.05,13.06,21825800.0,600089.SH,20231124,特变电工,NA,CNY
13.11,13.12,12.94,13.1,24705200.0,600089.SH,20231127,特变电工,NA,CNY
13.12,13.49,13.07,13.37,50649000.0,600089.SH,20231128,特变电工,NA,CNY
13.35,13.46,13.32,13.39,30603600.0,600089.SH,20231129,特变电工,NA,CNY
13.39,13.43,13.18,13.23,25222400.0,600089.SH,20231130,特变电工,NA,CNY
13.24,13.32,13.15,13.29,19930800.0,600089.SH,20231201,特变电工,NA,CNY
13.28,13.38,13.17,13.18,20964500.0,600089.SH,20231204,特变电工,NA,CNY
13.16,13.2,12.88,12.89,29327800.0,600089.SH,20231205,特变电工,NA,CNY
12.89,12.97,12.78,12.87,25528100.0,600089.SH,20231206,特变电工,NA,CNY
12.88,12.88,12.7,12.81,23452300.0,600089.SH,20231207,特变电工,NA,CNY
12.85,13.01,12.78,12.79,24028100.0,600089.SH,20231208,特变电工,NA,CNY
12.74,12.87,12.51,12.84,31182900.0,600089.SH,20231211,特变电工,NA,CNY
12.8,12.86,12.75,12.82,17612800.0,600089.SH,20231212,特变电工,NA,CNY
