open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
5.07,5.2,5.03,5.13,512782000.0,600027.SH,20250905,华电国际,NA,CNY
5.15,5.25,5.11,5.18,406494300.0,600027.SH,20250912,华电国际,NA,CNY
5.18,5.2,4.92,4.93,448936300.0,600027.SH,20250919,华电国际,NA,CNY
4.94,4.94,4.77,4.84,298076100.0,600027.SH,20250926,华电国际,NA,CNY
4.85,4.91,4.82,4.86,116497900.0,600027.SH,20250930,华电国际,NA,CNY
4.86,5.03,4.85,5.02,178060600.0,600027.SH,20251010,华电国际,NA,CNY
4.92,5.07,4.88,5.01,367553500.0,600027.SH,20251017,华电国际,NA,CNY
5.02,5.08,4.92,5.02,390413800.0,600027.SH,20251024,华电国际,NA,CNY
5.02,5.33,5.01,5.16,736380100.0,600027.SH,20251031,华电国际,NA,CNY
5.17,5.39,5.15,5.3,416983400.0,600027.SH,20251107,华电国际,NA,CNY
5.34,5.34,5.11,5.11,384796600.0,600027.SH,20251114,华电国际,NA,CNY
5.12,5.13,4.94,4.95,378009500.0,600027.SH,20251121,华电国际,NA,CNY
4.97,5.06,4.87,4.99,366447200.0,600027.SH,20251128,华电国际,NA,CNY
4.99,5.17,4.98,5.12,355496900.0,600027.SH,20251205,华电国际,NA,CNY
5.12,5.13,5.01,5.08,330114000.0,600027.SH,20251212,华电国际,NA,CNY
5.08,5.16,5.01,5.04,329617400.0,600027.SH,20251219,华电国际,NA,CNY
5.06,5.15,5.01,5.09,537893500.0,600027.SH,20251226,华电国际,NA,CNY
5.07,5.08,4.79,4.81,460468600.0,600027.SH,20251231,华电国际,NA,CNY
4.82,4.89,4.8,4.88,353991200.0,600027.SH,20260109,华电国际,NA,CNY
4.89,4.91,4.81,4.82,389808800.0,600027.SH,20260116,华电国际,NA,CNY
4.82,4.91,4.81,4.85,381110500.0,600027.SH,20260123,华电国际,NA,CNY
4.85,4.88,4.68,4.75,519667500.0,600027.SH,20260130,华电国际,NA,CNY
4.75,4.78,4.67,4.72,319895700.0,600027.SH,20260206,华电国际,NA,CNY
4.74,4.79,4.7,4.7,239064400.0,600027.SH,20260213,华电国际,NA,CNY
4.71,4.97,4.7,4.95,712461500.0,600027.SH,20260227,华电国际,NA,CNY
4.91,5.09,4.9,5.07,886102600.0,600027.SH,20260306,华电国际,NA,CNY
5.04,5.28,4.93,5.16,810186300.0,600027.SH,20260313,华电国际,NA,CNY
5.15,5.22,5.01,5.07,680440300.0,600027.SH,20260320,华电国际,NA,CNY
5.03,5.35,4.91,4.95,1276997500.0,600027.SH,20260327,华电国际,NA,CNY
4.9,4.9,4.39,4.41,870228500.0,600027.SH,20260403,华电国际,NA,CNY
4.41,4.5,4.36,4.44,355253900.0,600027.SH,20260410,华电国际,NA,CNY
4.43,4.54,4.41,4.5,414269200.0,600027.SH,20260417,华电国际,NA,CNY
4.51,4.76,4.5,4.73,613083700.0,600027.SH,20260424,华电国际,NA,CNY
4.7,4.9,4.66,4.84,550764000.0,600027.SH,20260430,华电国际,NA,CNY
4.84,5.04,4.82,4.98,353387900.0,600027.SH,20260508,华电国际,NA,CNY
4.98,5.35,4.98,5.18,1004782800.0,600027.SH,20260515,华电国际,NA,CNY
5.14,5.38,4.93,4.98,738797100.0,600027.SH,20260522,华电国际,NA,CNY
4.96,5.49,4.93,5.39,899320800.0,600027.SH,20260529,华电国际,NA,CNY
5.45,5.9,5.02,5.04,1633902100.0,600027.SH,20260605,华电国际,NA,CNY
4.95,5.09,4.86,4.97,666194500.0,600027.SH,20260612,华电国际,NA,CNY
4.99,4.99,4.62,4.63,485997000.0,600027.SH,20260618,华电国际,NA,CNY
4.61,4.74,4.46,4.46,452821100.0,600027.SH,20260626,华电国际,NA,CNY
4.43,4.65,4.34,4.54,451199400.0,600027.SH,20260703,华电国际,NA,CNY
4.53,4.56,4.39,4.5,292932900.0,600027.SH,20260710,华电国际,NA,CNY
4.48,4.71,4.46,4.65,415621900.0,600027.SH,20260717,华电国际,NA,CNY
4.6,4.88,4.58,4.69,566085200.0,600027.SH,20260724,华电国际,NA,CNY
4.68,4.82,4.59,4.81,380217000.0,600027.SH,20260731,华电国际,NA,CNY
4.8,4.89,4.63,4.67,343251700.0,600027.SH,20260807,华电国际,NA,CNY
4.66,4.71,4.52,4.54,298887400.0,600027.SH,20260814,华电国际,NA,CNY
4.55,4.57,4.45,4.46,253512500.0,600027.SH,20260821,华电国际,NA,CNY
4.47,4.71,4.46,4.7,353086400.0,600027.SH,20260828,华电国际,NA,CNY
