代码,公司,营收2024,归母2024,净利2024,少数2024,投收2024,营收2025,归母2025,净利2025,少数2025,投收2025,ROE2024,毛利率2024,ROE2025,毛利率2025,负债率2024,营收2021,归母2021,净利2021,少数2021,投收2021,负债率2025,少数占净利24,投收占归母24,投收占归母25
600027.SH,华电国际,1129.9,57.03,68.36,11.33,34.78,1260.1,60.7,82.17,21.46,31.53,8.32,8.78,8.89,11.44,61.55,,,,,,,16.6,61.0,51.9
600011.SH,华能国际,2455.5,101.35,141.1,39.74,12.43,2292.9,144.1,195.05,50.96,11.41,7.52,15.14,10.3,18.45,65.4,2046.1,-102.64,-126.73,-24.09,8.22,65.26,28.2,12.3,7.9
601991.SH,大唐发电,1234.7,45.06,68.58,23.52,28.16,1212.6,73.86,100.23,26.37,23.45,6.0,14.87,9.41,19.08,,,,,,,70.15,34.3,62.5,31.7
600023.SH,浙能电力,880.0,77.53,88.92,11.38,41.46,795.5,75.28,76.39,1.11,38.5,11.02,12.16,10.05,12.33,,710.7,-8.61,-20.06,-11.45,15.72,42.51,12.8,53.5,51.1
000543.SZ,皖能电力,,,,,,273.1,21.49,32.09,10.6,9.6,,,12.95,16.27,,,,,,,,,,44.7
600863.SH,内蒙华电,222.9,23.25,23.59,0.34,3.67,210.5,24.93,32.41,7.47,4.65,12.84,19.26,14.82,23.16,,189.3,4.54,1.2,-3.34,-0.48,,1.4,15.8,18.7
600578.SH,京能电力,354.3,17.23,22.87,5.64,11.39,354.3,35.3,44.77,9.47,11.77,6.11,13.31,12.41,21.28,63.7,,,,,,64.25,24.7,66.1,33.3
600021.SH,上海电力,427.3,20.46,41.63,21.17,15.31,418.6,27.67,52.93,25.25,15.48,7.2,23.47,8.76,25.76,71.9,,,,,,69.32,50.9,74.8,55.9
600900.SH,长江电力,844.9,324.96,329.3,4.34,52.58,862.4,345.03,349.49,4.46,49.59,15.79,59.13,15.99,61.67,60.79,556.5,262.73,264.85,2.12,54.26,58.27,1.3,16.2,14.4
601985.SH,中国核电,772.7,87.77,165.53,77.76,4.11,820.8,93.04,179.71,86.66,3.09,8.73,42.91,8.13,41.32,68.26,623.7,80.38,140.55,60.17,1.95,69.01,47.0,4.7,3.3
