open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
4.51,4.56,4.5,4.51,47600600.0,600027.SH,20260820,华电国际,NA,CNY
4.51,4.52,4.45,4.46,55130500.0,600027.SH,20260821,华电国际,NA,CNY
4.47,4.56,4.46,4.55,72876400.0,600027.SH,20260824,华电国际,NA,CNY
4.53,4.62,4.53,4.6,59622300.0,600027.SH,20260825,华电国际,NA,CNY
4.6,4.67,4.59,4.65,72180100.0,600027.SH,20260826,华电国际,NA,CNY
4.64,4.65,4.57,4.61,65951500.0,600027.SH,20260827,华电国际,NA,CNY
4.63,4.71,4.61,4.7,82456100.0,600027.SH,20260828,华电国际,NA,CNY
3.9,3.95,3.87,3.9,4569870.0,1071.HK,20260820,华电国际,NA,HKD
3.9,3.92,3.87,3.92,3732000.0,1071.HK,20260821,华电国际,NA,HKD
3.91,3.94,3.9,3.91,2670014.0,1071.HK,20260824,华电国际,NA,HKD
3.93,3.98,3.92,3.98,3714014.0,1071.HK,20260825,华电国际,NA,HKD
3.97,4.02,3.96,3.99,5148000.0,1071.HK,20260826,华电国际,NA,HKD
3.99,4.04,3.94,3.98,5449118.0,1071.HK,20260827,华电国际,NA,HKD
3.95,4.05,3.95,4.03,5390000.0,1071.HK,20260828,华电国际,NA,HKD
